Авариийно-сигнальное сообщение;Сообщение БСТО::Источник;Сообщение БСТО::ИН;Сообщение БСТО::Краткое описание неисправности;Работа РУН;Сигнализация СЭИ;Сигнализация СЭИ::Мнемокадр ELEC;Ошибки;Локальная сигнализация;Локальная сигнализация:: Альтернативное название;Локальная сигнализация::Пульт ELEC;Наблюдаемые неисправности
;EIU1 и EIU2;261;LOAD4 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;262;LOAD5 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;263;LOAD6 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;264;LOAD7 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;265;LOAD8 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;266;LOAD9 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;267;LOAD10 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;268;LOAD11 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;269;LOAD12 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;270;LOAD13 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;271;LOAD14 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;272;LOAD15 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;273;LOAD16 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;274;LOAD17 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;275;LOAD18 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;276;LOAD19 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;277;LOAD20 CIRCUIT FAULT;24-61-00-810-815;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;278;LOAD1 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;279;LOAD2 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;280;LOAD3 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;281;LOAD4 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;282;LOAD5 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;283;LOAD6 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;284;LOAD7 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;285;LOAD8 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;286;LOAD9 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;287;LOAD10 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;288;LOAD11 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;289;LOAD12 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;290;LOAD13 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;291;LOAD14 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;292;LOAD15 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;293;LOAD16 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;294;LOAD17 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;295;LOAD18 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;296;LOAD19 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;297;LOAD20 CIRCUIT FAULT;24-61-00-810-816;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;298;LOAD1 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;299;LOAD2 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;300;LOAD3 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;301;LOAD4 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;302;LOAD5 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;303;LOAD6 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;304;LOAD7 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;305;LOAD8 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;306;LOAD9 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;307;LOAD10 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;308;LOAD11 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;309;LOAD12 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;310;LOAD13 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;311;LOAD14 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;312;LOAD15 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;313;LOAD16 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;314;LOAD17 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;315;LOAD18 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;316;LOAD19 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;317;LOAD20 CIRCUIT FAULT;24-61-00-810-817;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;318;LOAD1 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;319;LOAD2 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;320;LOAD3 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;321;LOAD4 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;322;LOAD5 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;323;LOAD6 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;324;LOAD7 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;325;LOAD8 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;326;LOAD9 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;327;LOAD10 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;328;LOAD11 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;329;LOAD12 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;330;LOAD13 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;331;LOAD14 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;332;LOAD15 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;333;LOAD16 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;334;LOAD17 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;335;LOAD18 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;336;LOAD19 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;337;LOAD20 CIRCUIT FAULT;24-61-00-810-818;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;338;LOAD1 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;339;LOAD2 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;340;LOAD3 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;341;LOAD4 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;342;LOAD5 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;343;LOAD6 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;344;LOAD7 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;345;LOAD8 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;346;LOAD9 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;347;LOAD10 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;348;LOAD11 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;349;LOAD12 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;350;LOAD13 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;351;LOAD14 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;352;LOAD15 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;353;LOAD16 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;354;LOAD17 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;355;LOAD18 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;356;LOAD19 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;357;LOAD20 CIRCUIT FAULT;24-61-00-810-819;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;358;LOAD1 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;359;LOAD2 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;360;LOAD3 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;361;LOAD4 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;362;LOAD5 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;363;LOAD6 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;364;LOAD7 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;365;LOAD8 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;366;LOAD9 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;367;LOAD10 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;368;LOAD11 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;369;LOAD12 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;370;LOAD13 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;371;LOAD14 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;372;LOAD15 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;373;LOAD16 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;374;LOAD17 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;375;LOAD18 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;376;LOAD19 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;377;LOAD20 CIRCUIT FAULT;24-61-00-810-820;;;;В строке STATUS PRESENT текущее состояние канала отображается как OFF, TRIPPED или FAILED;;Пульт управления электрическими нагрузками (PLDCP);
;EIU1 и EIU2;484;RAT HEATER FAULT;24-24-00-810-801;;;;"Надпись ""FAIL"" горит желтым цветом";;Кнопка-табло TEST RAT;
;EIU1 и EIU2;485;RAT GCU BIT FAULT;24-24-00-810-802;;;;"Надпись ""FAIL"" горит желтым цветом";;Кнопка-табло TEST RAT;
;EIU1 и EIU2;480;K5 FAULT;24-24-00-810-803;;;;"Надпись ""FAIL"" горит желтым цветом";;Кнопка-табло TEST RAT;
;EIU1 и EIU2;481;K6 FAULT;24-24-00-810-804;;;;"Надпись ""FAIL"" горит желтым цветом";;Кнопка-табло TEST RAT;
;EIU1 и EIU2;482;K9 FAULT;24-24-00-810-805;;;;"Надпись ""FAIL"" горит желтым цветом";;Кнопка-табло TEST RAT;
;EIU1 и EIU2;483;K10 FAULT;24-24-00-810-806;;;;"Надпись ""FAIL"" горит желтым цветом";;Кнопка-табло TEST RAT;
;EIU1 и EIU2;480;K5 FAULT;24-24-00-810-807;;;;"Надпись ""FAIL"" горит желтым цветом";;Кнопка-табло TEST RAT;
;EPGS;115;;24-23-00-810-858;;;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
;EPGS;403;;24-23-00-810-861;;;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
;EPGS;169;;24-23-00-810-863;;;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
;EPGS;35;APU GEN FAULT LAMP HIGH;24-23-00-810-832;;;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
;EPGS;1073;GEN DRV LAMP FAILED ON;24-20-00-810-823;;;;"Кнопка-табло L DRIVE – надпись ""DRIVE"" светится янтарным цветом ";Кнопка-табло L DRIVE -высвечивается надпись DRIVE желтым цветом;Пульт ELEC;
;EPGS;1015;GEN SW OFF LAMP ACTIVE;24-20-00-810-833;;;;"Кнопка-табло L DRIVE – надпись ""OFF"" светится белым цветом ";Кнопка-табло L GEN -высвечивается надпись OFF белым цветом;Пульт ELEC;
